OPEID,INSTNM,CITY,STABBR,ZIP,SCH_DEG,PREDDEG,HIGHDEG,ST_FIPS,REGION,HBCU,PBI,MENONLY,WOMENONLY,ADM_RATE,ADM_RATE_ALL,UGDS_MEN,UGDS_WOMEN,COMP_ORIG_YR8_RT,OMAWDP8_ALL_POOLED_SUPP,OMAWDP8_PELL_ALL_POOLED_SUPP,C150_4_POOLED_SUPP,C150_L4_POOLED_SUPP,C150_4_PELL_POOLED_SUPP,C150_L4_PELL_POOLED_SUPP,COSTT4_A
00199700,Somerset Community College,Somerset,KY,42501-2973,1,1,2,21,5,0,0,0,0,NA,NA,0.3615,0.6385,0.193033381713,0.3067,0.2848,NA,0.3791,NA,0.3512,11775
00199800,Southeast Kentucky Community & Technical College,Cumberland,KY,40823,1,1,2,21,5,0,0,0,0,NA,NA,0.316,0.684,0.255451713396,0.3783,0.3519,NA,0.3585,NA,0.3641,11904
00196000,Spalding University,Louisville,KY,40203-2188,3,3,4,21,5,0,0,0,0,0.9764,0.97638888888888,0.3354,0.6646,0.45297029703,0.5022,0.484,0.4347,NA,0.3827,NA,42917
00461900,Sullivan University,Louisville,KY,40205,2,2,4,21,5,0,0,0,0,NA,NA,0.3268,0.6732,0.21018651363,0.2809,0.2779,0.2368,NA,0.2113,NA,30100
00200100,Thomas More University,Crestview Hills,KY,41017-3495,3,3,4,21,5,0,0,0,0,0.9424,0.94244604316546,0.5099,0.4901,0.449275362319,0.5146,0.3938,0.4713,NA,0.3271,NA,45868
00198700,Transylvania University,Lexington,KY,40508-1797,3,3,3,21,5,0,0,0,0,0.9079,0.90791690061763,0.4385,0.5615,0.720670391061,0.7053,0.656,0.7146,NA,0.6241,NA,57015
00198800,Union College,Barbourville,KY,40906-1499,3,3,4,21,5,0,0,0,0,0.5342,0.53415061295971,0.6006,0.3994,0.164285714286,0.3829,0.3181,0.3487,NA,0.3531,NA,41450
00200200,Western Kentucky University,Bowling Green,KY,42101-1000,3,3,4,21,5,0,0,0,0,0.9695,0.96948700866089,0.3836,0.6164,0.408295372812,0.52,0.4226,0.5247,NA,0.3762,NA,23211
00548900,Central Louisiana Technical Community College,Alexandria,LA,71301,1,1,2,22,5,0,0,0,0,NA,NA,0.408,0.592,0.220118343195,0.5919,0.7021,NA,0.6987,NA,0.6514,12076
02055400,Bossier Parish Community College,Bossier City,LA,71111-6922,2,1,2,22,5,0,1,0,0,NA,NA,0.3139,0.6861,0.129656683711,0.2267,0.2133,NA,0.205,NA,0.1339,16056
00200300,Centenary College of Louisiana,Shreveport,LA,71104,3,3,4,22,5,0,0,0,0,0.6365,0.63652326602282,0.454,0.546,0.388127853881,0.5666,0.5333,0.5819,NA,0.5333,NA,57199
00462500,Delgado Community College,New Orleans,LA,70119,1,1,2,22,5,0,1,0,0,NA,NA,0.2849,0.7151,0.165855752719,0.2127,0.1987,NA,0.1607,NA,0.1447,13828
00200400,Dillard University,New Orleans,LA,70122,3,3,3,22,5,1,0,0,0,0.7989,0.79889152810768,0.2443,0.7557,0.408993576017,0.4928,0.4566,0.4985,NA,0.4576,NA,33520
02166100,Nunez Community College,Chalmette,LA,70043,1,1,2,22,5,0,1,0,0,NA,NA,0.3287,0.6713,0.19746835443,0.2752,0.2617,NA,0.2477,NA,0.2179,17152
00200600,Grambling State University,Grambling,LA,71245,3,3,4,22,5,1,0,0,0,0.4237,0.4236861721953,0.3622,0.6378,0.351016799293,0.3764,0.3556,0.3349,NA,0.2993,NA,24264
02166200,ITI Technical College,Baton Rouge,LA,70817,2,2,2,22,5,0,0,0,0,NA,NA,0.8436,0.1564,0.617021276596,0.7937,0.7837,NA,0.6073,NA,0.5968,23900
00201100,Louisiana State University-Alexandria,Alexandria,LA,71302-9121,3,3,3,22,5,0,0,0,0,0.5767,0.57672502574665,0.2817,0.7183,0.28596187175,0.3552,0.3907,0.2904,NA,0.2031,NA,14892
00201000,Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,70803-2750,3,3,4,22,5,0,0,0,0,0.7572,0.75718734718039,0.4517,0.5483,0.603598538094,0.6954,0.5911,0.6941,NA,0.5684,NA,33322
00201200,Louisiana State University-Eunice,Eunice,LA,70535,2,2,2,22,5,0,0,0,0,NA,NA,0.2402,0.7598,0.148959474261,0.2039,0.1652,NA,0.1489,NA,0.1334,17375
00201300,Louisiana State University-Shreveport,Shreveport,LA,71115-2399,3,3,4,22,5,0,0,0,0,0.8891,0.88911704312115,0.3982,0.6018,0.334600760456,0.373,0.3282,0.3556,NA,0.3085,NA,18196
00200700,Louisiana Christian University,Pineville,LA,71359,3,3,4,22,5,0,0,0,0,0.7461,0.7461139896373,0.545,0.455,0.354691075515,0.3697,0.3127,0.3224,NA,0.2824,NA,28160
00200800,Louisiana Tech University,Ruston,LA,71272,3,3,4,22,5,0,0,0,0,0.6237,0.62369980250164,0.5663,0.4337,0.497899159664,0.566,0.5243,0.5938,NA,0.4702,NA,23390
00201600,Loyola University New Orleans,New Orleans,LA,70118-6143,3,3,4,22,5,0,0,0,0,0.7811,0.78106267029972,0.3345,0.6655,0.502717391304,0.6086,0.5393,0.6449,NA,0.6028,NA,59044
00201700,McNeese State University,Lake Charles,LA,70605,3,3,4,22,5,0,0,0,0,0.7124,0.71243669105233,0.3922,0.6078,0.381294964029,0.479,0.4127,0.442,NA,0.3379,NA,20355
00201500,University of New Orleans,New Orleans,LA,70148,3,3,4,22,5,0,0,0,0,0.6976,0.69764254385964,0.496,0.504,0.393002915452,0.4623,0.4652,0.3858,NA,0.331,NA,22232
00200500,Nicholls State University,Thibodaux,LA,70310,3,3,4,22,5,0,0,0,0,0.9843,0.98427260812581,0.3634,0.6366,0.430410297667,0.4831,0.3806,0.4804,NA,0.3906,NA,20961
00202000,University of Louisiana at Monroe,Monroe,LA,71209-0000,3,3,4,22,5,0,0,0,0,0.7011,0.70113874041366,0.342,0.658,0.404744787922,0.5321,0.4608,0.5215,NA,0.4267,NA,22653
00997500,Northwest Louisiana Technical Community College,Minden,LA,71055-0000,1,1,2,22,5,0,0,0,0,NA,NA,0.6169,0.3831,0.184165232358,0.4269,0.5336,NA,0.5865,NA,0.6879,17196
