JURISDICTION,COUNTY,YEAR,POPULATION,MURDER,RAPE,ROBBERY,AGG. ASSAULT,B & E,LARCENY THEFT,M/V THEFT,GRAND TOTAL,VIOLENT CRIME TOTAL,PROPERTY CRIME TOTALS
Queen Anne,Queen Anne's,2019,129,0,0,0,0,0,1,0,1,0,1
Queen Anne,Queen Anne's,2020,129,0,0,0,0,0,0,0,0,0,0
Queenstown,Queen Anne's,2019,695,0,0,0,1,1,34,0,36,1,35
Queenstown,Queen Anne's,2020,816,0,0,0,0,1,29,0,30,0,30
Ridgely,Caroline,2019,1657,0,1,1,2,3,39,0,46,4,42
Ridgely,Caroline,2020,1659,0,0,0,0,2,12,1,15,0,15
Rising Sun,Cecil,2019,2781,0,0,0,6,4,25,1,36,6,30
Rising Sun,Cecil,2020,2780,0,0,1,5,4,14,1,25,6,19
Riverdale Park,Prince George's,2019,7200,1,0,7,14,19,149,25,215,22,193
Riverdale Park,Prince George's,2020,7229,0,0,16,16,20,190,19,261,32,229
Rock Hall,Kent,2019,1274,0,0,0,2,2,6,0,10,2,8
Rock Hall,Kent,2020,1270,0,0,0,0,1,1,0,2,0,2
Rockville,Montgomery,2019,68079,0,29,36,33,110,833,66,1107,98,1009
Rockville,Montgomery,2020,68856,2,34,31,47,91,806,62,1073,114,959
Rosemont,Frederick,2019,322,0,0,0,1,0,0,0,1,1,0
Rosemont,Frederick,2020,322,0,0,0,0,0,0,0,0,0,0
Salisbury,Wicomico,2019,32935,0,19,58,218,207,1197,45,1744,295,1449
Salisbury,Wicomico,2020,33233,1,25,64,216,155,864,48,1373,306,1067
Seat Pleasant,Prince George's,2019,4738,1,0,15,20,12,74,18,140,36,104
Seat Pleasant,Prince George's,2020,4761,0,0,29,17,20,86,48,200,46,154
Sharpsburg,Washington,2019,647,0,0,0,2,3,2,0,7,2,5
Sharpsburg,Washington,2020,784,0,0,0,0,2,0,2,4,0,4
Sharpstown,Wicomico,2019,648,0,0,0,0,0,0,0,0,0,0
Sharpstown,Wicomico,2020,689,0,0,0,0,1,0,0,1,0,1
Smithsburg,Washington,2019,2974,0,0,0,5,4,15,1,25,5,20
Smithsburg,Washington,2020,2972,0,0,0,2,1,15,2,20,2,18
Snow Hill,Worcester,2019,2050,0,0,1,4,3,16,0,24,5,19
Snow Hill,Worcester,2020,2043,0,1,0,12,9,6,1,29,13,16
Somerset,Montgomery,2019,1273,0,0,0,0,1,5,1,7,0,7
Somerset,Montgomery,2020,1090,0,0,0,0,2,10,3,15,0,15
St. Michael's,Talbot,2020,1041,0,0,0,10,1,11,0,22,10,12
St. Michaels,Talbot,2019,1040,0,0,1,5,3,13,1,23,6,17
Sudlersville,Queen Anne's,2019,480,0,0,0,0,0,0,0,0,0,0
Sudlersville,Queen Anne's,2020,480,0,0,0,0,0,0,0,0,0,0
Sykesville,Carroll,2019,3958,0,1,0,32,4,16,4,57,33,24
Sykesville,Carroll,2020,3960,0,0,0,11,12,24,1,48,11,37
Takoma Park,Montgomery,2019,17725,0,5,30,36,50,333,26,480,71,409
Takoma Park,Montgomery,2020,17831,2,8,27,24,34,402,33,530,61,469
